#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 18:58
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
B2BTUR01;Brno, Tuøany;01.01.1961;31.12.1996;16.6956;49.1597;241
B2BTUR01;Brno, Tuøany;01.01.1997;31.12.2023;16.688889;49.153056;241

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Teplomìr;01.01.1961;31.12.1996;2
Teplotní èidlo;01.01.1997;31.10.2010;2
Teplotní èidlo;01.11.2010;31.12.2023;2.03

PRVEK
Prùmìrná denní teplota vzduchu [T.AVG, °C]

POPIS
Hodnota - mìsíèní hodnota prvku pro daný mìsíc
Datum - datum výskytu hodnoty
Pøíznak * u datumu znamená, že se hodnota vyskytla vícekrát
Pøíznak I znamená, že se výpoèet provedl z neúplných dat.

STATISTIKA
AVG - prùmìrná hodnota za mìsíc
SUM - souèet za mìsíc
MAX - maximální hodnota za mìsíc a den maxima
MIN - minimální hodnota za mìsíc a den minima

MÌSÍÈNÍ DATA
Rok;Statistika;Hodnota leden;Datum leden;Hodnota únor;Datum únor;Hodnota bøezen;Datum bøezen;Hodnota duben;Datum duben;Hodnota kvìten;Datum kvìten;Hodnota èerven;Datum èerven;Hodnota èervenec;Datum èervenec;Hodnota srpen;Datum srpen;Hodnota záøí;Datum záøí;Hodnota øíjen;Datum øíjen;Hodnota listopad;Datum listopad;Hodnota prosinec;Datum prosinec;Hodnota rok;Datum rok;
1961;AVG;-3.1;;2.1;;6.4;;11.8;;12.2;;18;;16.7;;17.9;;16.5;;10.9;;3.8;;-2.4;;9.2;;
1961;MAX;2.1;04.01.1961;4.7;14.02.1961;11.4;18.03.1961;17.2;07.04.1961;17.9;26.05.1961;24;27.06.1961;24.5;03.07.1961;26;10.08.1961;21.6;05.09.1961;16.2;06.10.1961;9.3;13.11.1961;9.1;05.12.1961;26;10.08.1961;
1961;MIN;-10.3;26.01.1961;-3.3;06.02.1961;-.4;22.03.1961;6;10.04.1961;8.1;11.05.1961;13.7;15.06.1961;12.8;30.07.1961;12;17.08.1961;12.1;11.09.1961;7;30.10.1961;-2.3;23.11.1961;-14.3;25.12.1961;-14.3;25.12.1961;
1962;AVG;-1.1;;-1.3;;.2;;10.4;;11.5;;15.5;;16.8;;18.8;;12.9;;8.9;;3.8;;-4.5;;7.7;;
1962;MAX;3.3;26.01.1962;4.4;12.02.1962;11.1;31.03.1962;19.5;25.04.1962;17.4;19.05.1962;24.7;24.06.1962;24.3;26.07.1962;23.7;13.08.1962;22;12.09.1962;15.2;03.10.1962;11.5;08.11.1962;2.6;16.12.1962;24.7;24.06.1962;
1962;MIN;-7.6;05.01.1962;-9.2;01.02.1962;-5;16.03.1962;3.4;11.04.1962;4;02.05.1962;6.6;01.06.1962;10.5;05.07.1962;14.1;30.08.1962;7.7;20.09.1962;2.1;26.10.1962;-1.7;23.11.1962;-13.7;22.12.1962;-13.7;22.12.1962;
1963;AVG;-8.2;;-6.1;;.8;;9.9;;14.1;;17.6;;19.8;;18.5;;15.4;;8.5;;6.8;;-5.1;;7.7;;
1963;MAX;.6;06.01.1963;.4;11.02.1963;6.6;30.03.1963;16.1;19.04.1963;19.6;27.05.1963;25.5;28.06.1963;25.4;24.07.1963;27.1;04.08.1963;19.4;02.09.1963;12.2;02.10.1963;14.1;06.11.1963;1.4;01.12.1963;27.1;04.08.1963;
1963;MIN;-14.5;18.01.1963;-14.9;02.02.1963;-10.7;01.03.1963;.5;02.04.1963;6.4;04.05.1963;11.5;02.06.1963;14.4;09.07.1963;12;18.08.1963;7.9;28.09.1963;3.7;28.10.1963;1.9;21.11.1963;-11.6;19.12.1963;-14.9;02.02.1963;
1964;AVG;-6.1;;-1;;.1;;10.2;;13.9;;19.4;;19.3;;16.9;;14.3;;8.3;;4.8;;-1.3;;8.2;;
